洲名,國家,日期,總確診數,新增確診數,總人口數
亞洲,日本,2021-01-01,239005,3256,126050796
亞洲,日本,2021-01-02,242076,3071,126050796
亞洲,日本,2021-01-03,245242,3166,126050796
亞洲,日本,2021-01-04,248585,3343,126050796
亞洲,日本,2021-01-05,253534,4949,126050796
亞洲,日本,2021-01-06,259583,6049,126050796
亞洲,日本,2021-01-07,267225,7642,126050796
亞洲,日本,2021-01-08,275182,7957,126050796
亞洲,日本,2021-01-09,283036,7854,126050796
亞洲,日本,2021-01-10,289144,6108,126050796
亞洲,日本,2021-01-11,294050,4906,126050796
亞洲,日本,2021-01-12,298647,4597,126050796
亞洲,日本,2021-01-13,304564,5917,126050796
亞洲,日本,2021-01-14,311220,6656,126050796
亞洲,日本,2021-01-15,318393,7173,126050796
亞洲,日本,2021-01-16,325435,7042,126050796
亞洲,日本,2021-01-17,331195,5760,126050796
亞洲,日本,2021-01-18,336132,4937,126050796
亞洲,日本,2021-01-19,341467,5335,126050796
亞洲,日本,2021-01-20,347029,5562,126050796
亞洲,日本,2021-01-21,352693,5664,126050796
亞洲,日本,2021-01-22,357750,5057,126050796
亞洲,日本,2021-01-23,362476,4726,126050796
亞洲,日本,2021-01-24,366466,3990,126050796
亞洲,日本,2021-01-25,369229,2763,126050796
亞洲,日本,2021-01-26,373082,3853,126050796
亞洲,日本,2021-01-27,377056,3974,126050796
亞洲,日本,2021-01-28,381187,4131,126050796
亞洲,日本,2021-01-29,384725,3538,126050796
亞洲,日本,2021-01-30,388067,3342,126050796
亞洲,日本,2021-01-31,390740,2673,126050796
亞洲,台灣,2021-01-01,802,3,23855008
亞洲,台灣,2021-01-02,808,6,23855008
亞洲,台灣,2021-01-03,812,4,23855008
亞洲,台灣,2021-01-04,815,3,23855008
亞洲,台灣,2021-01-05,817,2,23855008
亞洲,台灣,2021-01-06,819,2,23855008
亞洲,台灣,2021-01-07,822,3,23855008
亞洲,台灣,2021-01-08,825,3,23855008
亞洲,台灣,2021-01-09,828,3,23855008
亞洲,台灣,2021-01-10,828,0,23855008
亞洲,台灣,2021-01-11,834,6,23855008
亞洲,台灣,2021-01-12,838,4,23855008
亞洲,台灣,2021-01-13,842,4,23855008
亞洲,台灣,2021-01-14,842,0,23855008
亞洲,台灣,2021-01-15,843,1,23855008
亞洲,台灣,2021-01-16,851,8,23855008
亞洲,台灣,2021-01-17,855,4,23855008
亞洲,台灣,2021-01-18,862,7,23855008
亞洲,台灣,2021-01-19,868,6,23855008
亞洲,台灣,2021-01-20,870,2,23855008
亞洲,台灣,2021-01-21,881,11,23855008
亞洲,台灣,2021-01-22,881,0,23855008
亞洲,台灣,2021-01-23,884,3,23855008
亞洲,台灣,2021-01-24,889,5,23855008
亞洲,台灣,2021-01-25,889,0,23855008
亞洲,台灣,2021-01-26,890,1,23855008
亞洲,台灣,2021-01-27,893,3,23855008
亞洲,台灣,2021-01-28,895,2,23855008
亞洲,台灣,2021-01-29,899,4,23855008
亞洲,台灣,2021-01-30,909,10,23855008
亞洲,台灣,2021-01-31,911,2,23855008
